date,name,station_status,remote_id,station_bytes,mirror_bytes,in_mirror,size_match,verdict
2026-09-02,20260902T130128.mp4,LOCAL,,9407680,,False,False,UPLOAD
2026-09-02,20260902T123125.mp4,SYNCED,3941,9744758,,False,False,HOLD-unverified
2026-09-02,20260902T120132.mp4,SYNCED,3940,9694959,,False,False,HOLD-unverified
2026-09-02,20260902T113123.mp4,SYNCED,3939,9270988,,False,False,HOLD-unverified
2026-09-02,20260902T110127.mp4,SYNCED,3938,10067439,,False,False,HOLD-unverified
2026-09-02,20260902T103132.mp4,SYNCED,3937,9414823,,False,False,HOLD-unverified
2026-09-02,20260902T100126.mp4,SYNCED,3936,10144760,,False,False,HOLD-unverified
2026-09-02,20260902T093126.mp4,FAILED,,9307256,,False,False,UPLOAD
2026-09-02,20260902T090127.mp4,SYNCED,3934,10222071,,False,False,HOLD-unverified
2026-09-02,20260902T083125.mp4,SYNCED,3933,9323621,,False,False,HOLD-unverified
2026-09-02,20260902T080127.mp4,SYNCED,3932,9310266,,False,False,HOLD-unverified
2026-09-02,20260902T073125.mp4,FAILED,,10308381,,False,False,UPLOAD
2026-09-02,20260902T070132.mp4,SYNCED,3930,9309777,,False,False,HOLD-unverified
2026-09-02,20260902T063131.mp4,SYNCED,3929,10108065,,False,False,HOLD-unverified
2026-09-02,20260902T060126.mp4,SYNCED,3928,9312295,,False,False,HOLD-unverified
2026-09-02,20260902T053125.mp4,SYNCED,3927,9319216,,False,False,HOLD-unverified
2026-09-02,20260902T050135.mp4,SYNCED,3926,9542913,,False,False,HOLD-unverified
2026-09-02,20260902T043125.mp4,SYNCED,3925,9313576,,False,False,HOLD-unverified
2026-09-02,20260902T040131.mp4,SYNCED,3924,9335117,,False,False,HOLD-unverified
2026-09-02,20260902T033128.mp4,SYNCED,3923,10387650,,False,False,HOLD-unverified
2026-09-02,20260902T030132.mp4,SYNCED,3922,10100437,,False,False,HOLD-unverified
2026-09-02,20260902T023131.mp4,SYNCED,3921,10163155,,False,False,HOLD-unverified
2026-09-02,20260902T020126.mp4,SYNCED,3920,9319654,,False,False,HOLD-unverified
2026-09-02,20260902T013127.mp4,SYNCED,3919,9567613,,False,False,HOLD-unverified
2026-09-02,20260902T010125.mp4,SYNCED,3918,9309477,,False,False,HOLD-unverified
2026-09-02,20260902T003129.mp4,SYNCED,3917,10229718,,False,False,HOLD-unverified
2026-09-02,20260902T000129.mp4,SYNCED,3916,9323763,,False,False,HOLD-unverified
2026-09-01,20260901T233125.mp4,SYNCED,3915,9536613,,False,False,HOLD-unverified
2026-09-01,20260901T230125.mp4,SYNCED,3914,10320604,,False,False,HOLD-unverified
2026-09-01,20260901T223131.mp4,SYNCED,3913,9408319,,False,False,HOLD-unverified
2026-09-01,20260901T220132.mp4,SYNCED,3912,9892544,,False,False,HOLD-unverified
2026-09-01,20260901T213128.mp4,SYNCED,3911,9482070,,False,False,HOLD-unverified
2026-09-01,20260901T210134.mp4,SYNCED,3910,9539308,,False,False,HOLD-unverified
2026-09-01,20260901T203125.mp4,SYNCED,3909,9285537,,False,False,HOLD-unverified
2026-09-01,20260901T200133.mp4,SYNCED,3908,9366508,,False,False,HOLD-unverified
2026-09-01,20260901T193127.mp4,SYNCED,3907,9292137,,False,False,HOLD-unverified
2026-09-01,20260901T190127.mp4,SYNCED,3906,9904933,,False,False,HOLD-unverified
2026-09-01,20260901T183125.mp4,SYNCED,3905,9292623,,False,False,HOLD-unverified
2026-09-01,20260901T180135.mp4,FAILED,,10045760,,False,False,UPLOAD
2026-09-01,20260901T173123.mp4,FAILED,,9484642,,False,False,UPLOAD
2026-09-01,20260901T170128.mp4,FAILED,,9853939,,False,False,UPLOAD
2026-09-01,20260901T163123.mp4,FAILED,,9286339,,False,False,UPLOAD
2026-09-01,20260901T160126.mp4,FAILED,,9431529,,False,False,UPLOAD
2026-09-01,20260901T153133.mp4,FAILED,,9301074,,False,False,UPLOAD
2026-09-01,20260901T150123.mp4,FAILED,,9696804,,False,False,UPLOAD
2026-09-01,20260901T143123.mp4,FAILED,,9290442,,False,False,UPLOAD
